"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Jul-2024","EQ","764.95","767.90","755.35","760.30","759.00","759.45","760.29","822.00","350.55","2,09,217","15,90,65,630.40","12,704"
"10-Jul-2024","EQ","771.35","791.40","753.05","764.55","763.00","760.30","777.90","822.00","350.55","12,20,880","94,97,27,578.35","57,838"
"09-Jul-2024","EQ","757.90","783.65","751.55","751.95","769.00","764.55","767.36","822.00","350.55","8,26,706","63,43,84,923.95","41,957"
"08-Jul-2024","EQ","754.95","766.90","747.45","751.10","752.70","751.95","755.49","822.00","350.55","2,62,885","19,86,06,669.70","20,988"
"05-Jul-2024","EQ","750.00","766.75","745.55","747.20","752.80","751.10","756.62","822.00","350.55","2,77,744","21,01,47,532.45","17,814"
"04-Jul-2024","EQ","766.80","768.55","743.10","761.75","759.00","747.20","749.44","822.00","350.55","4,24,236","31,79,40,499.00","24,394"
"03-Jul-2024","EQ","768.70","771.95","756.00","760.15","759.70","761.75","766.48","822.00","350.55","6,79,563","52,08,69,085.65","31,945"
"02-Jul-2024","EQ","737.40","765.00","726.35","734.30","762.40","760.15","751.73","822.00","350.55","11,94,395","89,78,62,994.40","43,860"
"01-Jul-2024","EQ","710.00","738.30","705.20","700.20","730.55","734.30","724.41","822.00","350.55","8,01,510","58,06,22,677.40","35,511"
"28-Jun-2024","EQ","706.55","706.80","699.30","699.60","700.90","700.20","700.37","822.00","340.00","3,09,376","21,66,77,545.75","9,218"
"27-Jun-2024","EQ","700.00","707.00","690.70","696.60","706.50","699.60","698.35","822.00","340.00","1,92,559","13,44,73,941.80","10,492"
"26-Jun-2024","EQ","690.90","701.95","690.05","687.30","696.00","696.60","696.04","822.00","340.00","2,52,114","17,54,80,562.75","13,828"
"25-Jun-2024","EQ","692.00","699.40","682.25","690.65","687.95","687.30","690.40","822.00","340.00","2,96,812","20,49,20,063.40","19,673"
"24-Jun-2024","EQ","704.65","704.65","688.10","700.60","689.10","690.65","695.14","822.00","340.00","1,10,867","7,70,68,051.55","9,356"
"21-Jun-2024","EQ","682.05","707.25","678.40","681.15","698.90","700.60","695.10","822.00","335.10","5,97,242","41,51,43,673.25","29,124"
"20-Jun-2024","EQ","701.60","701.60","679.90","692.25","679.95","681.15","684.63","822.00","335.10","3,93,761","26,95,79,050.60","20,800"
"19-Jun-2024","EQ","721.00","721.85","688.60","713.40","690.00","692.25","698.73","822.00","335.10","4,65,027","32,49,27,053.95","26,635"
"18-Jun-2024","EQ","719.00","727.95","709.05","715.55","709.65","713.40","714.73","822.00","335.10","5,63,671","40,28,71,068.85","22,361"
"14-Jun-2024","EQ","722.35","738.00","709.55","719.80","718.70","715.55","720.52","822.00","335.10","3,46,262","24,94,88,659.20","16,081"
"13-Jun-2024","EQ","739.00","746.85","718.00","734.00","719.50","719.80","729.33","822.00","335.10","2,69,466","19,65,28,986.10","14,053"
"12-Jun-2024","EQ","734.95","735.00","723.20","726.50","732.00","734.00","730.62","822.00","335.10","1,93,917","14,16,80,071.20","12,277"
"11-Jun-2024","EQ","713.50","729.50","711.50","712.95","725.00","726.50","724.26","822.00","335.10","1,85,581","13,44,09,111.75","10,797"
"10-Jun-2024","EQ","725.00","730.00","708.35","714.80","713.25","712.95","716.99","822.00","335.10","2,90,987","20,86,35,746.50","19,152"
"07-Jun-2024","EQ","703.90","721.00","696.00","694.10","714.50","714.80","715.20","822.00","327.25","3,26,968","23,38,46,095.35","17,989"
"06-Jun-2024","EQ","696.00","697.95","685.20","693.95","695.00","694.10","692.87","822.00","327.25","3,22,863","22,37,01,118.75","26,313"
"05-Jun-2024","EQ","668.90","698.85","641.55","663.65","693.00","693.95","673.40","822.00","327.25","4,55,073","30,64,48,362.20","20,380"
"04-Jun-2024","EQ","710.05","718.00","621.75","719.55","673.00","663.65","668.43","822.00","327.25","12,69,715","84,87,13,250.10","52,530"
"03-Jun-2024","EQ","702.00","722.80","685.05","696.45","719.60","719.55","708.63","822.00","327.25","15,00,142","1,06,30,47,930.50","61,701"
"31-May-2024","EQ","679.00","698.45","678.30","678.30","692.00","696.45","693.47","822.00","322.05","13,61,224","94,39,66,179.10","46,052"
"30-May-2024","EQ","730.00","734.00","673.20","743.90","676.00","678.30","708.87","822.00","322.05","1,40,05,763","9,92,83,17,960.55","79,621"
"29-May-2024","EQ","749.95","775.00","734.40","751.50","742.10","743.90","754.34","822.00","322.05","5,52,306","41,66,28,946.70","32,760"
"28-May-2024","EQ","752.10","759.60","744.25","752.10","750.90","751.50","750.64","822.00","322.05","3,37,688","25,34,81,306.65","14,696"
"27-May-2024","EQ","746.90","761.90","742.90","745.70","754.95","752.10","751.99","822.00","322.05","1,86,409","14,01,77,333.50","11,724"
"24-May-2024","EQ","755.65","769.30","742.00","759.95","744.50","745.70","752.78","822.00","322.05","1,84,104","13,85,90,348.15","12,911"
"23-May-2024","EQ","754.50","774.00","741.15","752.80","755.00","759.95","753.78","822.00","322.05","2,52,466","19,03,02,580.30","17,992"
"22-May-2024","EQ","749.50","757.60","717.35","745.00","750.25","752.80","742.18","822.00","322.05","2,41,695","17,93,80,784.20","21,138"
"21-May-2024","EQ","760.00","760.45","739.05","757.75","748.00","745.00","744.61","822.00","322.05","2,28,571","17,01,96,935.35","18,535"
"18-May-2024","EQ","753.85","768.50","752.45","755.20","758.00","757.75","759.66","822.00","318.05","26,301","1,99,79,905.00","1,677"
"17-May-2024","EQ","740.65","760.00","736.30","740.10","754.45","755.20","747.20","822.00","318.05","1,61,826","12,09,16,773.95","17,112"
"16-May-2024","EQ","763.00","763.95","737.00","759.10","739.00","740.10","745.91","822.00","318.05","1,79,754","13,40,79,674.60","12,162"
"15-May-2024","EQ","775.00","779.40","754.15","769.40","761.00","759.10","763.91","822.00","318.05","1,27,005","9,70,20,274.65","11,578"
"14-May-2024","EQ","751.90","776.00","750.80","750.80","774.00","769.40","762.72","822.00","318.05","1,59,622","12,17,47,358.30","13,784"
"13-May-2024","EQ","757.00","763.45","738.50","750.20","750.40","750.80","750.13","822.00","318.05","2,11,354","15,85,43,178.95","18,658"
"10-May-2024","EQ","747.95","762.00","741.30","748.70","749.90","750.20","752.48","822.00","301.30","1,93,126","14,53,23,257.70","20,565"
"09-May-2024","EQ","767.10","784.00","741.85","768.20","742.00","748.70","756.73","822.00","301.30","3,72,988","28,22,49,416.20","29,867"
"08-May-2024","EQ","756.10","777.00","755.15","762.60","769.50","768.20","767.21","822.00","301.30","3,93,983","30,22,67,369.50","29,739"
"07-May-2024","EQ","776.80","792.70","754.70","780.40","761.45","762.60","773.45","822.00","301.30","3,61,417","27,95,38,013.65","31,758"
"06-May-2024","EQ","792.85","793.80","767.25","786.25","775.00","780.40","781.29","822.00","301.30","3,80,512","29,72,91,395.75","37,975"
"03-May-2024","EQ","815.00","816.00","778.50","815.95","794.00","786.25","788.86","822.00","299.05","7,78,141","61,38,41,773.20","43,357"
"02-May-2024","EQ","751.60","822.00","748.35","749.95","814.00","815.95","803.50","822.00","299.05","47,40,342","3,80,88,78,307.10","1,49,307"
"30-Apr-2024","EQ","730.00","765.65","726.20","705.70","745.15","749.95","744.89","765.65","299.05","26,97,656","2,00,94,50,944.75","1,10,156"
"29-Apr-2024","EQ","711.00","711.00","685.70","693.45","706.55","705.70","698.27","731.65","299.05","5,54,629","38,72,83,060.50","31,197"
"26-Apr-2024","EQ","663.00","702.00","662.05","660.75","695.00","693.45","686.89","731.65","298.65","12,48,932","85,78,81,642.75","61,886"
"25-Apr-2024","EQ","659.00","665.75","645.50","655.35","664.00","660.75","654.09","731.65","298.65","4,48,163","29,31,40,665.80","24,999"
"24-Apr-2024","EQ","643.90","659.00","639.75","642.60","657.00","655.35","649.17","731.65","298.65","5,19,850","33,74,72,339.25","25,137"
"23-Apr-2024","EQ","630.00","648.65","625.65","627.25","641.60","642.60","637.23","731.65","298.65","3,53,173","22,50,53,092.70","24,402"
"22-Apr-2024","EQ","625.00","634.40","617.50","615.80","625.00","627.25","626.07","731.65","298.65","2,61,437","16,36,78,262.20","17,573"
"19-Apr-2024","EQ","619.30","622.25","609.45","625.95","617.30","615.80","614.46","731.65","287.00","2,88,699","17,73,93,078.80","22,606"
"18-Apr-2024","EQ","594.05","639.80","592.00","618.55","625.40","625.95","626.00","731.65","287.00","5,57,591","34,90,49,679.85","38,870"
"16-Apr-2024","EQ","614.55","628.00","608.80","614.35","617.90","618.55","619.76","731.65","287.00","5,39,315","33,42,45,123.70","29,459"
"15-Apr-2024","EQ","615.00","624.00","601.00","625.35","617.80","614.35","611.72","731.65","287.00","3,05,129","18,66,55,029.35","24,561"
"12-Apr-2024","EQ","631.30","637.00","622.50","631.30","625.00","625.35","629.85","731.65","276.10","1,93,177","12,16,72,769.00","15,643"
"10-Apr-2024","EQ","635.65","637.05","625.20","637.00","632.10","631.30","630.59","731.65","276.10","3,36,894","21,24,42,927.00","17,544"
"09-Apr-2024","EQ","645.80","646.95","632.20","644.75","634.50","637.00","638.53","731.65","276.10","2,92,290","18,66,34,535.55","19,733"
"08-Apr-2024","EQ","657.00","658.00","640.00","647.95","642.00","644.75","647.23","731.65","276.10","4,26,373","27,59,63,331.25","25,557"
"05-Apr-2024","EQ","640.80","663.80","640.00","638.80","646.75","647.95","651.30","731.65","276.10","6,89,919","44,93,47,673.35","39,392"
"04-Apr-2024","EQ","634.00","652.00","633.85","632.80","642.40","638.80","642.33","731.65","276.10","3,78,511","24,31,30,721.60","29,976"
"03-Apr-2024","EQ","633.60","673.75","630.00","634.20","634.00","632.80","650.51","731.65","276.10","10,04,240","65,32,66,863.05","44,936"
"02-Apr-2024","EQ","624.00","637.80","620.10","622.15","630.50","634.20","628.23","731.65","276.10","6,62,404","41,61,39,997.40","27,753"
"01-Apr-2024","EQ","614.00","628.20","613.95","613.65","617.15","622.15","620.09","731.65","276.10","2,21,227","13,71,80,654.40","17,363"
"28-Mar-2024","EQ","617.00","624.40","605.30","604.30","611.00","613.65","614.36","731.65","272.40","7,00,645","43,04,50,431.95","41,742"
"27-Mar-2024","EQ","599.65","606.95","593.25","594.80","605.00","604.30","603.19","731.65","272.40","3,50,996","21,17,16,945.15","17,332"
"26-Mar-2024","EQ","606.45","606.50","591.45","607.35","596.00","594.80","596.55","731.65","272.40","1,14,166","6,81,06,168.60","9,905"
"22-Mar-2024","EQ","594.70","610.35","590.65","598.90","601.15","607.35","600.63","731.65","272.00","2,51,286","15,09,29,274.45","11,733"
"21-Mar-2024","EQ","584.40","601.95","584.40","584.40","598.50","598.90","595.06","731.65","272.00","3,67,175","21,84,91,270.10","14,918"
"20-Mar-2024","EQ","584.70","592.15","572.00","584.70","580.05","584.40","577.96","731.65","272.00","2,80,328","16,20,17,450.95","12,840"
"19-Mar-2024","EQ","597.00","597.00","579.20","594.20","582.05","584.70","587.37","731.65","272.00","1,28,213","7,53,08,158.55","11,291"
"18-Mar-2024","EQ","613.25","619.00","590.60","613.10","595.00","594.20","600.62","731.65","272.00","3,04,057","18,26,23,384.10","16,614"
"15-Mar-2024","EQ","594.95","616.00","587.35","590.75","612.00","613.10","604.56","731.65","272.00","5,36,487","32,43,35,902.10","26,826"
"14-Mar-2024","EQ","555.00","605.00","548.70","561.90","600.00","590.75","577.98","731.65","272.00","9,82,499","56,78,66,135.70","41,357"
"13-Mar-2024","EQ","596.00","596.00","556.50","593.05","565.95","561.90","572.74","731.65","272.00","5,74,024","32,87,65,887.85","35,697"
"12-Mar-2024","EQ","606.10","613.25","587.00","628.05","594.80","593.05","599.72","731.65","272.00","23,64,343","1,41,79,53,072.05","60,231"
"11-Mar-2024","EQ","648.80","650.45","621.00","651.25","627.70","628.05","636.70","731.65","272.00","2,35,829","15,01,52,770.95","21,739"
"07-Mar-2024","EQ","657.15","657.75","633.00","654.45","649.00","651.25","643.74","731.65","272.00","3,96,142","25,50,14,033.50","33,995"
"06-Mar-2024","EQ","683.75","683.75","637.00","679.15","656.45","654.45","651.47","731.65","272.00","4,53,977","29,57,50,393.40","33,753"
"05-Mar-2024","EQ","679.85","694.00","668.00","674.35","684.00","679.15","683.08","731.65","272.00","2,84,071","19,40,42,353.70","22,950"
"04-Mar-2024","EQ","697.00","697.00","670.70","685.60","672.00","674.35","676.10","731.65","272.00","1,48,419","10,03,46,441.45","12,748"
"02-Mar-2024","EQ","674.90","689.90","670.10","666.80","687.50","685.60","684.16","731.65","272.00","29,890","2,04,49,646.35","2,058"
"01-Mar-2024","EQ","693.00","698.35","665.00","686.15","667.55","666.80","674.58","731.65","272.00","2,80,030","18,89,03,997.65","18,535"
"29-Feb-2024","EQ","680.35","717.50","664.40","676.15","687.00","686.15","680.79","731.65","272.00","10,75,572","73,22,37,844.70","39,939"
"28-Feb-2024","EQ","718.45","719.05","670.50","718.45","681.00","676.15","692.64","731.65","272.00","7,04,578","48,80,20,874.80","34,176"
"27-Feb-2024","EQ","731.50","731.50","714.15","723.45","718.00","718.45","718.93","731.65","272.00","5,54,965","39,89,81,801.60","23,446"
"26-Feb-2024","EQ","715.00","731.65","707.05","703.05","726.65","723.45","719.71","731.65","272.00","16,51,904","1,18,88,96,650.60","63,941"
"23-Feb-2024","EQ","661.00","711.00","660.00","656.35","709.95","703.05","691.70","711.00","272.00","17,88,903","1,23,73,82,340.75","71,153"
"22-Feb-2024","EQ","654.65","660.75","646.55","651.00","660.00","656.35","656.89","701.00","272.00","4,99,755","32,82,82,166.40","28,145"
"21-Feb-2024","EQ","651.40","688.00","643.25","639.25","652.50","651.00","662.20","701.00","272.00","13,33,689","88,31,62,326.35","45,994"
"20-Feb-2024","EQ","637.80","646.00","630.30","637.85","641.00","639.25","638.48","701.00","272.00","2,79,303","17,83,29,901.25","19,954"
"19-Feb-2024","EQ","652.00","655.85","630.00","652.00","640.00","637.85","644.43","701.00","272.00","2,64,175","17,02,42,295.80","19,565"
"16-Feb-2024","EQ","637.45","660.80","636.70","634.50","650.65","652.00","652.95","701.00","272.00","9,48,558","61,93,59,265.30","24,478"
"15-Feb-2024","EQ","631.40","651.30","628.05","627.20","633.05","634.50","641.15","701.00","272.00","2,38,425","15,28,65,638.25","19,258"
"14-Feb-2024","EQ","611.30","636.90","603.95","621.25","632.80","627.20","626.87","701.00","272.00","1,48,606","9,31,56,174.65","14,372"
"13-Feb-2024","EQ","653.95","661.50","617.75","660.10","622.10","621.25","629.10","701.00","272.00","3,37,375","21,22,42,075.50","24,957"
"12-Feb-2024","EQ","679.00","701.00","652.00","679.30","659.00","660.10","669.98","701.00","272.00","5,15,079","34,50,92,554.05","30,673"
"09-Feb-2024","EQ","665.95","694.50","647.20","666.05","680.00","679.30","677.37","694.50","272.00","6,15,897","41,71,89,941.85","38,897"
"08-Feb-2024","EQ","654.50","670.00","652.00","651.20","666.00","666.05","664.09","670.00","272.00","4,28,747","28,47,24,531.50","29,848"
"07-Feb-2024","EQ","647.95","663.50","636.50","639.60","657.00","651.20","652.98","664.60","272.00","8,90,233","58,13,04,162.75","35,687"
"06-Feb-2024","EQ","638.00","664.60","625.00","638.25","641.00","639.60","641.38","664.60","272.00","9,39,464","60,25,51,642.50","38,671"
"05-Feb-2024","EQ","634.40","648.95","628.00","636.25","637.00","638.25","636.91","654.70","272.00","6,42,641","40,93,05,419.75","63,437"
"02-Feb-2024","EQ","626.65","654.70","625.00","628.05","632.75","636.25","639.74","654.70","272.00","6,83,523","43,72,74,213.75","42,627"
"01-Feb-2024","EQ","622.15","648.50","615.10","620.70","620.00","628.05","631.41","648.50","272.00","13,90,370","87,78,90,457.85","52,156"
"31-Jan-2024","EQ","608.80","629.00","594.10","599.65","619.00","620.70","611.60","629.00","272.00","18,54,880","1,13,44,47,937.15","73,411"
"30-Jan-2024","EQ","564.25","603.95","561.70","559.25","602.00","599.65","594.79","603.95","272.00","30,58,535","1,81,91,78,693.90","81,486"
"29-Jan-2024","EQ","543.00","569.00","543.00","540.35","561.95","559.25","559.67","569.00","272.00","17,30,952","96,87,65,233.65","53,115"
"25-Jan-2024","EQ","547.70","552.40","538.90","544.80","541.00","540.35","544.06","563.70","272.00","3,28,224","17,85,72,134.45","20,900"
"24-Jan-2024","EQ","548.10","552.85","539.55","548.25","545.00","544.80","545.70","563.70","272.00","5,06,418","27,63,52,427.50","26,840"
"23-Jan-2024","EQ","553.95","555.25","542.20","552.90","548.55","548.25","548.70","563.70","272.00","4,71,473","25,86,97,862.55","26,252"
"20-Jan-2024","EQ","546.00","554.90","538.75","542.85","552.00","552.90","547.96","563.70","272.00","2,83,847","15,55,35,395.95","12,908"
"19-Jan-2024","EQ","543.40","546.00","539.00","538.25","541.00","542.85","542.80","563.70","272.00","5,92,021","32,13,47,335.30","22,080"
"18-Jan-2024","EQ","522.40","545.80","512.40","522.85","540.00","538.25","531.57","563.70","272.00","5,99,789","31,88,32,629.15","28,980"
"17-Jan-2024","EQ","534.00","536.40","520.00","537.45","522.95","522.85","528.75","563.70","272.00","3,44,780","18,23,02,720.70","20,145"
"16-Jan-2024","EQ","536.65","539.40","531.00","536.65","539.00","537.45","536.96","563.70","272.00","3,45,023","18,52,64,589.55","25,422"
"15-Jan-2024","EQ","534.10","537.55","530.30","529.65","537.20","536.65","534.60","563.70","272.00","3,81,282","20,38,32,042.05","23,895"
"12-Jan-2024","EQ","532.05","535.80","526.00","530.05","530.05","529.65","530.25","563.70","272.00","5,34,124","28,32,17,324.60","20,718"
"11-Jan-2024","EQ","525.00","531.00","520.00","520.00","531.00","530.05","527.93","563.70","272.00","7,56,649","39,94,56,226.75","26,015"
"10-Jan-2024","EQ","517.00","521.50","515.15","514.90","519.50","520.00","519.01","563.70","272.00","7,22,723","37,51,03,645.60","23,091"
"09-Jan-2024","EQ","515.60","518.15","511.50","510.60","513.80","514.90","514.53","563.70","272.00","6,50,174","33,45,34,549.35","22,748"
"08-Jan-2024","EQ","508.40","512.80","508.05","506.95","511.05","510.60","510.32","563.70","272.00","9,06,614","46,26,60,130.75","32,793"
"05-Jan-2024","EQ","499.45","508.40","498.00","496.55","507.20","506.95","505.32","563.70","272.00","12,41,376","62,72,97,212.40","46,320"
"04-Jan-2024","EQ","486.00","498.00","484.15","488.35","497.00","496.55","494.09","563.70","272.00","5,08,234","25,11,13,219.05","15,604"
"03-Jan-2024","EQ","480.00","493.00","479.80","481.50","489.00","488.35","488.22","563.70","272.00","5,09,102","24,85,53,995.25","18,336"
"02-Jan-2024","EQ","484.30","489.70","479.20","482.95","482.00","481.50","482.73","563.70","272.00","6,69,246","32,30,67,937.25","29,274"